origin_airport_id,dest_airport_id,op_unique_carrier,day_of_week,time_bucket,total_flights,delay_rate,cancellation_rate
10135,14761,G4,7,Night,12,66.66666666666666,0.0
10135,14986,G4,2,Afternoon,2,50.0,0.0
10135,14986,G4,4,Afternoon,20,25.0,0.0
10135,14986,G4,4,Evening,1,0.0,0.0
10135,14986,G4,4,Morning,23,13.043478260869565,0.0
10135,14986,G4,7,Afternoon,20,25.0,0.0
10135,14986,G4,7,Morning,23,26.08695652173913,0.0
10136,11298,MQ,1,Afternoon,42,21.951219512195124,2.380952380952381
10136,11298,MQ,1,Evening,43,36.58536585365854,4.651162790697675
10136,11298,MQ,1,Late Night/Early Morning,43,11.627906976744185,0.0
10136,11298,MQ,1,Morning,86,17.441860465116278,0.0
10136,11298,MQ,2,Afternoon,43,14.285714285714285,2.3255813953488373
10136,11298,MQ,2,Evening,43,17.5,6.976744186046512
10136,11298,MQ,2,Late Night/Early Morning,33,12.5,3.0303030303030303
10136,11298,MQ,2,Morning,52,12.0,3.8461538461538463
10136,11298,MQ,3,Afternoon,44,21.951219512195124,6.818181818181818
10136,11298,MQ,3,Evening,44,27.906976744186046,2.272727272727273
10136,11298,MQ,3,Late Night/Early Morning,34,20.588235294117645,0.0
10136,11298,MQ,3,Morning,98,22.916666666666664,2.0408163265306123
10136,11298,MQ,4,Afternoon,44,9.30232558139535,2.272727272727273
10136,11298,MQ,4,Evening,44,23.809523809523807,4.545454545454546
10136,11298,MQ,4,Late Night/Early Morning,44,15.909090909090908,0.0
10136,11298,MQ,4,Morning,88,13.095238095238097,4.545454545454546
10136,11298,MQ,5,Afternoon,43,12.5,6.976744186046512
10136,11298,MQ,5,Evening,42,33.33333333333333,7.142857142857143
10136,11298,MQ,5,Late Night/Early Morning,44,9.090909090909092,0.0
10136,11298,MQ,5,Morning,88,9.090909090909092,0.0
10136,11298,MQ,6,Afternoon,43,18.6046511627907,0.0
10136,11298,MQ,6,Evening,43,32.5,6.976744186046512
10136,11298,MQ,6,Late Night/Early Morning,34,14.705882352941178,0.0
10136,11298,MQ,6,Morning,95,15.789473684210526,0.0
10136,11298,MQ,7,Afternoon,42,19.047619047619047,0.0
10136,11298,MQ,7,Evening,43,34.146341463414636,4.651162790697675
10136,11298,MQ,7,Late Night/Early Morning,37,13.513513513513514,0.0
10136,11298,MQ,7,Morning,92,16.483516483516482,1.0869565217391304
10140,10397,DL,1,Afternoon,43,13.953488372093023,0.0
10140,10397,DL,1,Late Night/Early Morning,2,0.0,0.0
10140,10397,DL,1,Morning,82,14.814814814814813,1.2195121951219512
10140,10397,DL,2,Afternoon,43,11.627906976744185,0.0
10140,10397,DL,2,Late Night/Early Morning,1,0.0,0.0
10140,10397,DL,2,Morning,73,5.47945205479452,0.0
10140,10397,DL,3,Afternoon,42,9.523809523809524,0.0
10140,10397,DL,3,Evening,1,0.0,0.0
10140,10397,DL,3,Morning,75,5.333333333333334,0.0
10140,10397,DL,4,Afternoon,43,9.30232558139535,0.0
10140,10397,DL,4,Morning,84,7.142857142857142,0.0
10140,10397,DL,5,Afternoon,43,25.581395348837212,0.0
10140,10397,DL,5,Late Night/Early Morning,2,0.0,0.0
10140,10397,DL,5,Morning,83,6.25,3.6144578313253013
10140,10397,DL,6,Afternoon,42,21.428571428571427,0.0
