ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10154,12197,16,1,100.0
10154,12197,18,2,0.0
10154,12478,12,2,0.0
10154,12478,15,17,11.76470588235294
10154,12478,16,15,13.333333333333334
10154,12478,17,3,100.0
10154,12478,19,1,100.0
10154,12478,20,1,100.0
10154,12953,10,1,0.0
10154,12953,11,20,0.0
10154,12953,12,6,50.0
10154,12953,13,4,75.0
10154,12953,16,5,0.0
10154,12953,17,1,100.0
10154,14100,16,2,50.0
10155,11298,4,1,0.0
10155,11298,5,26,3.8461538461538463
10155,11298,6,2,50.0
10155,11298,9,1,100.0
10155,11298,10,26,3.8461538461538463
10155,11298,11,1,100.0
10155,11298,12,1,100.0
10155,11298,13,1,100.0
10155,11298,14,1,100.0
10155,11298,18,23,13.043478260869565
10155,11298,19,3,100.0
10155,11298,20,3,100.0
10157,11292,12,28,14.285714285714285
10157,11292,13,1,100.0
10157,11292,16,1,100.0
10157,12892,15,14,0.0
10157,12892,16,14,7.142857142857142
10157,12892,19,1,100.0
10157,12892,22,1,100.0
10157,14771,6,9,0.0
10157,14771,7,2,50.0
10157,14771,8,15,46.666666666666664
10157,14771,9,2,100.0
10157,14771,11,1,100.0
10157,14771,12,2,100.0
10157,14771,13,2,50.0
10157,14771,14,24,12.5
10157,14771,15,7,14.285714285714285
10157,14771,16,4,75.0
10157,14771,18,23,56.52173913043478
10157,14771,19,5,100.0
10157,14771,20,1,100.0
10158,11697,5,5,0.0
10158,11697,6,17,0.0
10158,11697,14,6,0.0
10158,11697,15,1,100.0
10158,11697,18,1,0.0
10158,11697,19,13,15.384615384615385
10158,11697,20,8,12.5
10158,11697,21,1,100.0
10158,13204,5,14,0.0
10158,13204,6,8,0.0
10158,13204,8,1,100.0
10158,13204,10,6,0.0
10158,13204,11,4,25.0
10158,13204,17,28,17.857142857142858
10158,13204,18,2,100.0
10158,13303,10,13,0.0
10158,13303,11,1,100.0
10158,13577,7,1,0.0
10158,13577,17,7,0.0
10158,13577,19,2,0.0
10158,13577,20,6,0.0
10158,13577,21,11,9.090909090909092
10158,13577,23,3,100.0
10158,14027,6,2,0.0
10158,14027,9,4,0.0
10158,14027,10,8,12.5
10158,14027,17,21,0.0
10158,14027,18,7,57.14285714285714
10158,14027,19,2,100.0
10158,14635,10,1,0.0
10158,14635,12,6,16.666666666666664
10158,14635,13,7,0.0
10158,14635,16,15,0.0
10158,14635,17,2,100.0
10158,15304,5,2,0.0
10158,15304,6,24,0.0
10158,15304,9,1,0.0
10158,15304,10,17,5.88235294117647
10158,15304,12,4,25.0
10165,10299,14,4,0.0
10165,10299,16,2,100.0
10170,10299,6,21,0.0
10170,10299,7,9,33.33333333333333
10170,10299,8,23,0.0
10170,10299,9,7,28.57142857142857
10170,10299,15,24,0.0
10170,10299,16,5,60.0
10185,11298,2,1,100.0
10185,11298,5,27,7.4074074074074066
10185,11298,7,1,100.0
10185,11298,10,29,6.896551724137931
10185,11298,11,2,100.0
10185,11298,12,1,100.0
10185,11298,18,21,14.285714285714285
10185,11298,19,4,100.0
10185,11298,20,1,100.0
10185,11298,21,1,100.0
10208,10397,5,8,0.0
10208,10397,6,15,0.0
10208,10397,7,2,0.0
10208,10397,8,1,100.0
10208,10397,9,1,0.0
10208,10397,10,1,0.0
10208,10397,11,15,6.666666666666667
10208,10397,12,2,50.0
10208,10397,13,2,0.0
10208,10397,14,22,9.090909090909092
10208,10397,15,8,0.0
10208,11057,16,1,0.0
10208,11278,5,28,3.571428571428571
10208,11278,6,1,100.0
10208,11298,15,1,0.0
10208,11298,16,24,8.333333333333332
10208,11298,17,2,100.0
10208,11298,18,2,100.0
10208,11298,19,1,100.0
10245,10299,17,30,0.0
10257,10397,5,18,0.0
10257,10397,6,12,8.333333333333332
10257,10397,12,20,5.0
10257,10397,13,2,100.0
10257,10397,14,8,0.0
10257,10397,18,11,0.0
10257,10397,19,10,10.0
10257,10693,9,4,0.0
10257,10693,10,8,0.0
10257,10693,12,11,0.0
10257,10693,13,3,66.66666666666666
10257,10693,14,13,15.384615384615385
10257,10821,5,28,0.0
10257,10821,6,2,0.0
10257,10821,7,9,0.0
10257,10821,8,29,0.0
10257,10821,9,1,0.0
10257,10821,12,28,0.0
10257,10821,13,3,0.0
10257,10821,14,15,6.666666666666667
10257,10821,15,4,0.0
10257,10821,16,19,10.526315789473683
10257,10821,17,5,40.0
10257,10821,18,1,100.0
10257,10821,19,2,100.0
10257,11057,6,1,0.0
10257,11057,7,19,0.0
10257,11057,8,7,14.285714285714285
10257,11057,9,1,0.0
10257,11057,11,7,0.0
10257,11057,12,9,11.11111111111111
10257,11057,13,15,13.333333333333334
10257,11057,15,6,50.0
10257,11057,16,24,20.833333333333336
10257,11057,17,8,12.5
10257,11057,18,1,100.0
10257,11278,5,22,4.545454545454546
10257,11278,6,4,50.0
10257,11278,9,4,0.0
10257,11278,12,19,21.052631578947366
10257,11278,13,6,100.0
10257,11278,14,2,50.0
10257,11278,16,1,100.0
10257,11278,17,19,31.57894736842105
10257,11278,18,4,100.0
10257,11278,22,1,100.0
10257,11278,23,1,100.0
10257,11292,7,17,5.88235294117647
10257,11292,13,6,16.666666666666664
10257,11292,14,3,33.33333333333333
